Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
95,1.19557161849305,0.258857846103526,0.635796445589976,0.641257360106036,-0.395081077830257,-0.69466665065234,0.0340864517732639,-0.124346327485699,-0.0784002507894138,-0.128968445934799,0.407234503297602,0.90433999623573,0.881174107923801,0.159115341592959,1.18925554996116,-0.115160913422487,-0.0626577337266974,-1.17685513223138,-0.604592768288639,-0.0954206848593288,-0.201249004659988,-0.516924959230288,0.199095572062226,0.412551922326977,0.122983942243107,0.10193960468205,-0.00784559346217399,0.0202140084131656,1.29,true
132,-1.57135931118663,1.68750802712553,0.734670437858068,1.29334959714667,-0.21753166347078,-0.00267746796392636,0.147364180877205,0.515361979346643,-0.372441612815001,0.078020678219396,-0.592494907439863,0.99794100956986,1.10932838560526,0.0600476234099728,0.0861407955897413,-1.14989267358928,0.76519825435519,-0.810588623188627,0.737550435684102,-0.0936135323992745,0.0485493139851947,0.377255527434062,-0.0304355119893346,0.117608127652655,-0.0605200767063873,-0.296549879661509,-0.481570296943838,-0.167897497050231,10,true
192,-0.351286911319442,1.18375355867871,0.530794296283593,0.543891399497641,0.798441455110085,-0.804472168330861,1.56316997781134,-0.935793597816584,0.633634189325564,2.3036274404953,1.39889125365564,-0.318656901113065,-1.41064534114628,-0.155224571301645,0.277950266083997,-0.706227660477734,-0.780092413103,0.354093931125044,0.618677894122529,0.596401202364473,-0.12175458387342,0.668123705984537,-0.0573799781291892,0.301398017713342,-0.730945515143074,-0.538615997130842,-0.037212112892173,-0.479956078644041,1.79,true
406,-2.3122265423263,1.95199201064158,-1.60985073229769,3.9979055875468,-0.522187864667764,-1.42654531920595,-2.53738730624579,1.39165724829804,-2.77008927719433,-2.77227214465915,3.20203320709635,-2.89990738849473,-0.595221881324605,-4.28925378244217,0.389724120274487,-1.14074717980657,-2.83005567450437,-0.0168224681808257,0.416955705037907,0.126910559061474,0.517232370861764,-0.0350493686052974,-0.465211076182388,0.320198198514526,0.0445191674731724,0.177839798284401,0.261145002567677,-0.143275874698919,0,fraud
427,1.03107626224942,-0.45523299223766,1.56188449130624,1.56247853472831,-0.930127019563563,1.40787753385868,-1.14856327671676,0.626702330029719,1.46547994515549,-0.245997989205042,0.0966038756055349,1.19562969931102,-0.7688749958127,-0.728777169552417,-2.02792763163268,-0.554018199053438,0.283586474241672,-0.121894808446609,0.295542908989298,-0.211591353858796,-0.0804143589051935,0.240504443844683,-0.0878261244179269,-0.275648307325644,0.470777617608566,-0.244789345259783,0.111875400142171,0.0198055490440139,10,true
472,-3.0435406239976,-3.15730712090228,1.08846277997285,2.2886436183814,1.35980512966107,-1.06482252298131,0.325574266158614,-0.0677936531906277,-0.270952836226548,-0.838586564582682,-0.414575448285725,-0.503140859566824,0.676501544635863,-1.69202893305906,2.00063483909015,0.666779695901966,0.599717413841732,1.72532100745514,0.283344830149495,2.10233879259444,0.661695924845707,0.435477208966341,1.37596574254306,-0.293803152734021,0.279798031841214,-0.145361714815161,-0.252773122530705,0.0357642251788156,529,fraud
539,-1.73858230920278,0.0527395171641715,1.18705699100722,-0.656652481541991,0.920623228812823,-0.291788032932617,0.269083075824774,0.140631449560352,0.023463959383195,-0.0664073212639508,1.06153934660562,1.11240900240709,0.431152469596598,-0.164533388205805,-0.677748783263642,-0.0646263269992824,-0.466099341672979,-0.537378439763629,-0.14059796536231,0.00297447460271278,-0.179545428882738,-0.192035835534195,-0.261879413230851,-0.237476584722065,-0.335040251584604,0.240322540351778,-0.345129311059799,-0.38356325114774,1,true
559,-1.85901146818188,2.11913432276814,-0.0340726449395522,0.0994857322441757,-1.04683737600768,-1.21022622692315,-0.433630174745404,1.26111559218792,-0.419833445541828,-0.546292741765807,-0.712022291143379,0.0972660419709204,-0.309663884916577,0.502753656667742,0.880262275572814,0.741252782314394,0.531486834334447,0.0168754385700998,-0.161704917261058,-0.00767276204442877,-0.208053622791387,-0.824564872874745,0.142968147693545,0.310898687725182,-0.0146820514712495,0.0897313319186262,0.0933596732051208,0.00807043285506519,8.99,true
672,1.23804465576309,0.240100681227247,0.171455719029456,0.506074759156489,-0.221120051586911,-0.576536703327548,-0.07846926017659,0.0100654641489855,-0.0838071253119722,-0.0895499924122802,1.19832767857659,0.390521917483918,-0.595590796022016,0.0470983727463282,0.505034423756758,0.809498105121511,-0.331982478049116,0.402486545666664,0.22260442055808,-0.111626327809065,-0.267541603995759,-0.843585303977904,0.0859718321322924,-0.0643021537430055,0.203967798749732,0.100417133274049,-0.0323574402275846,0.0153955415637769,0.89,true
737,-0.308846893327012,0.105384024074842,1.10197539933843,-1.8974475449435,-0.201232229304146,-0.701165909238243,0.317307450850645,-0.0190133957462109,-1.5169058036361,0.200590574217537,0.737739311177104,-0.718581244343964,-0.742522916203939,0.128827837325546,-0.651994476047697,1.477831159526,-0.317124112530809,-0.586505429938999,0.354757851551011,0.0388477577813859,0.364867432307218,0.824246561298326,-0.205158597971035,-0.00357446515756691,-0.125034932901406,-0.3336573897801,0.0956434049468173,0.125836319130547,25.85,true
